section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
BU0287PR|264|0.2,BU0287PR,264,0.2,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),10.351,10.851,18,-97.361905,32.84092
BU0287PR|264|0.7,BU0287PR,264,0.7,02 - FORT WORTH,220 - TARRANT,J - JOINTED CONCRETE PAVEMENT (JCP),10.851,11.151,14,-97.362328,32.840116
FM0013 K|316|0.0,FM0013 K,316,0.0,10 - TYLER,201 - RUSK,J - JOINTED CONCRETE PAVEMENT (JCP),10.731,11.231,11,-94.955184,32.126464
FM0013 K|316|0.5,FM0013 K,316,0.5,10 - TYLER,201 - RUSK,J - JOINTED CONCRETE PAVEMENT (JCP),11.231,11.831,11,-94.947332,32.131886
FM0055 K|314|0.6,FM0055 K,314,0.6,18 - DALLAS,175 - NAVARRO,J - JOINTED CONCRETE PAVEMENT (JCP),19.739,20.239,18,-96.715162,32.091114
FM0066 K|584|0.5,FM0066 K,584,0.5,18 - DALLAS,71 - ELLIS,J - JOINTED CONCRETE PAVEMENT (JCP),18.989,19.489,24,-97.004568,32.27665
FM0076 L|344|0.0,FM0076 L,344,0.0,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),0.051,0.551,21,-106.395,31.761588
FM0076 L|344|0.5,FM0076 L,344,0.5,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),0.551,1.051,23,-106.387359,31.75903
FM0076 L|344|1.0,FM0076 L,344,1.0,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),1.051,1.551,23,-106.380502,31.754476
FM0076 L|344|1.5,FM0076 L,344,1.5,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),1.551,1.751,23,-106.376559,31.752406
